Wall time,Step,Value
1740948068.284733,1,0.3611111044883728
1740948068.383234,2,0.6111111044883728
1740948068.481105,3,0.5
1740948068.577028,4,0.5694444179534912
1740948068.674385,5,0.49444442987442017
1740948068.771386,6,0.5324074029922485
1740948068.86759,7,0.488095223903656
1740948068.964153,8,0.5138888955116272
1740948069.059997,9,0.48765432834625244
1740948069.15646,10,0.5027777552604675
1740948069.252856,11,0.5252525210380554
1740948069.351672,12,0.5347222089767456
1740948069.449303,13,0.5512820482254028
1740948069.54653,14,0.5634920597076416
1740948069.642706,15,0.5722222328186035
1740948069.73975,16,0.5868055820465088
1740948069.837444,17,0.593137264251709
1740948069.935099,18,0.6064814925193787
1740948070.031821,19,0.6111111044883728
1740948070.131323,20,0.6180555820465088
1740948070.228953,21,0.6243386268615723
1740948070.326442,22,0.6262626051902771
1740948070.423857,23,0.6328502297401428
1740948070.520865,24,0.6365740895271301
1740948070.618402,25,0.6399999856948853
1740948070.714823,26,0.6410256624221802
1740948070.811533,27,0.645061731338501
1740948070.908255,28,0.648809552192688
1740948071.006866,29,0.6513410210609436
1740948071.109862,30,0.6564815044403076
1740948071.210297,31,0.6612903475761414
1740948071.307611,32,0.6640625
1740948071.407124,33,0.6658248901367188
1740948071.511413,34,0.6691176295280457
1740948071.614421,35,0.6730158925056458
1740948070.226283,36,0.6705247163772583
1740948070.320236,37,0.6719219088554382
1740948070.41291,38,0.6754385828971863
1740948070.511736,39,0.6730769276618958
1740948070.609095,40,0.675694465637207
1740948070.703746,41,0.6788617968559265
1740948070.802789,42,0.6812169551849365
1740948070.902538,43,0.6815245747566223
1740948071.001446,44,0.681186854839325
1740948071.093727,45,0.6827160716056824
1740948071.185807,46,0.6841787695884705
1740948071.278173,47,0.6843971610069275
1740948071.37076,48,0.6840277910232544
1740948071.463456,49,0.6836734414100647
1740948071.55684,50,0.6822222471237183
1740948076.261837,51,0.5277777910232544
1740948076.359655,52,0.6527777910232544
1740948076.455634,53,0.6666666865348816
1740948076.552705,54,0.6458333134651184
1740948076.650153,55,0.6722221970558167
1740948076.746741,56,0.6944444179534912
1740948076.843721,57,0.7023809552192688
