Wall time,Step,Value
1741005293.840779,1,0.6944444179534912
1741005293.934828,2,0.5138888955116272
1741005294.025625,3,0.5833333134651184
1741005294.115723,4,0.625
1741005294.205798,5,0.5666666626930237
1741005294.29609,6,0.5833333134651184
1741005294.386887,7,0.6071428656578064
1741005294.477174,8,0.625
1741005294.567585,9,0.5802469253540039
1741005294.658304,10,0.5944444537162781
1741005294.748915,11,0.5984848737716675
1741005294.840008,12,0.5625
1741005294.930993,13,0.5811966061592102
1741005295.02109,14,0.5992063283920288
1741005295.111268,15,0.605555534362793
1741005295.20218,16,0.5885416865348816
1741005295.292641,17,0.5866013169288635
1741005295.383739,18,0.595678985118866
1741005295.475095,19,0.5964912176132202
1741005295.566019,20,0.6013888716697693
1741005295.657107,21,0.5965608358383179
1741005295.748466,22,0.5871211886405945
1741005295.840402,23,0.5942028760910034
1741005295.93097,24,0.5995370149612427
1741005296.021735,25,0.602222204208374
1741005296.112306,26,0.6057692170143127
1741005296.203057,27,0.6069958806037903
1741005296.293582,28,0.6150793433189392
1741005296.384477,29,0.6187739372253418
1741005296.474996,30,0.6259258985519409
1741005296.566117,31,0.6308243870735168
1741005296.656707,32,0.6354166865348816
1741005296.747536,33,0.6405723690986633
1741005296.83873,34,0.6454248428344727
1741005296.929216,35,0.6499999761581421
1741005297.019848,36,0.6496913433074951
1741005297.110016,37,0.6561561822891235
1741005297.200005,38,0.6600877046585083
1741005297.289892,39,0.6659544110298157
1741005297.37988,40,0.6701388955116272
1741005297.469519,41,0.672764241695404
1741005297.559409,42,0.6752645373344421
1741005297.648783,43,0.6808785796165466
1741005297.738239,44,0.6818181872367859
1741005297.828176,45,0.684567928314209
1741005297.919703,46,0.6890096664428711
1741005298.010827,47,0.6908983588218689
1741005298.101722,48,0.6932870149612427
1741005298.191808,49,0.69501131772995
1741005298.281787,50,0.6983333230018616
1741005302.771195,51,0.6111111044883728
1741005302.862716,52,0.6111111044883728
1741005302.954045,53,0.6851851940155029
1741005303.046745,54,0.7291666865348816
1741005303.138938,55,0.7444444298744202
1741005303.228735,56,0.7638888955116272
1741005303.319047,57,0.7658730149269104
1741005303.409334,58,0.7847222089767456
1741005303.4993,59,0.7993826866149902
1741005303.589851,60,0.8027777671813965
1741005303.679817,61,0.7979797720909119
1741005303.76965,62,0.7962962985038757
1741005303.861013,63,0.8012820482254028
1741005303.951619,64,0.7996031641960144
1741005304.041666,65,0.800000011920929
1741005304.13246,66,0.796875
1741005304.223208,67,0.7957516312599182
1741005304.313766,68,0.7993826866149902
1741005304.403687,69,0.8040935397148132
1741005304.494511,70,0.8083333373069763
1741005304.585724,71,0.8134920597076416
1741005304.676667,72,0.8156565427780151
1741005304.767634,73,0.8164251446723938
1741005304.857949,74,0.8159722089767456
1741005304.948938,75,0.8166666626930237
1741005305.039779,76,0.817307710647583
1741005305.130664,77,0.8189300298690796
1741005305.222313,78,0.8194444179534912
1741005305.313883,79,0.8180076479911804
1741005305.404391,80,0.8194444179534912
1741005305.495509,81,0.8234767317771912
1741005305.586622,82,0.8237847089767456
1741005305.677326,83,0.8257575631141663
1741005305.768482,84,0.8259803652763367
1741005305.859263,85,0.8261904716491699
1741005305.949695,86,0.8294752836227417
1741005306.040637,87,0.8265765905380249
1741005306.130041,88,0.8252924084663391
1741005306.219214,89,0.8269230723381042
1741005306.309267,90,0.8291666507720947
1741005306.398555,91,0.8306233286857605
1741005306.488082,92,0.8326719403266907
